,AÑO,CÓDIGO_DEPARTAMENTO,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,TAMAÑO_PROMEDIO_DE_GRUPO,SEDES_CONECTADAS_A_INTERNET,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_TRANSICIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_TRANSICIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
0,2011,5,1288473,94.01,93.85,70.28,94.12,75.68,44.37,106.81,85.69,117.5,110.81,84.06,27.47,74.48,3.97,3.62,3.65,4.57,3.71,93.98,0.07,94.56,4.57,93.33,2.06,0.07,94.56,2.54,2.96,4.25,0.07,4.56,5.27,1.68
1,2011,8,523935,99.32,99.05,50.59,98.93,80.22,50.17,107.88,84.19,120.41,107.89,87.98,24.42,80.46,2.76,2.6,3.06,2.42,2.61,96.7,0.12,96.49,2.42,96.64,0.54,0.12,96.49,0.67,0.75,1.82,0.12,1.77,2.18,0.88
2,2011,11,1479334,90.7,90.29,68.63,86.99,84.7,55.01,97.78,82.04,97.94,106.48,87.76,26.75,94.21,3.95,10.05,5.3,1.96,2.55,96.05,0.0,94.69,1.96,97.45,0.0,0.0,94.69,0.0,0.0,3.23,0.0,2.3,5.11,2.57
3,2011,13,496676,91.57,91.4,59.74,90.81,67.34,39.17,110.41,98.82,126.45,108.15,80.64,20.8,30.12,3.14,1.85,2.93,3.79,3.13,94.76,0.46,95.48,3.79,93.2,2.1,0.46,95.48,2.75,3.67,4.43,0.46,4.44,5.37,2.28
4,2011,15,300501,86.16,86.11,63.36,82.5,74.65,49.09,104.15,78.87,99.88,119.78,94.76,22.77,25.26,3.07,2.4,2.24,4.03,3.51,94.2,0.17,96.1,4.03,93.23,2.73,0.17,96.1,4.31,3.26,2.62,0.17,1.9,4.19,1.55
5,2011,17,201185,87.04,86.98,64.99,83.86,73.41,45.38,98.13,77.19,103.62,103.93,83.7,22.6,34.74,4.13,4.35,3.92,4.87,2.82,90.62,0.3,91.59,4.87,92.04,5.25,0.3,91.59,7.25,5.15,4.67,0.3,4.15,6.55,3.07
6,2011,18,124148,88.78,88.76,58.98,90.31,57.31,25.44,106.03,85.2,130.59,101.6,60.35,23.21,8.01,3.64,3.39,3.56,3.91,3.39,96.06,0.05,96.34,3.91,93.45,0.3,0.05,96.34,0.08,3.15,4.17,0.05,3.7,5.8,2.87
7,2011,19,328682,86.35,86.21,52.01,87.94,61.58,30.44,98.03,81.82,117.83,94.24,65.87,18.29,29.7,2.75,1.87,1.96,3.91,3.6,92.53,1.17,92.77,3.91,91.77,4.72,1.17,92.77,4.64,4.63,2.09,1.17,1.75,3.13,1.57
8,2011,20,263789,94.75,94.57,65.96,95.22,66.47,34.98,110.47,105.65,129.53,105.96,73.07,20.58,29.02,7.07,5.17,7.36,7.62,5.42,90.54,0.46,91.02,7.62,90.8,2.39,0.46,91.02,3.74,3.78,1.67,0.46,1.57,2.19,0.97
9,2011,23,405431,94.53,94.46,67.18,93.22,68.79,37.16,111.08,103.69,125.71,110.67,78.66,20.16,35.26,4.59,5.45,4.08,5.3,4.1,94.29,0.22,95.13,5.3,93.19,1.12,0.22,95.13,1.37,2.71,4.07,0.22,4.18,4.53,2.43
