,AÑO,CÓDIGO_DEPARTAMENTO,DEPARTAMENTO,POBLACIÓN_5_16
0,2011,5,Antioquia,1288473
1,2011,8,Atlántico,523935
2,2011,11,"Bogotá, D.C.",1479334
3,2011,13,Bolívar,496676
4,2011,15,Boyacá,300501
5,2011,17,Caldas,201185
6,2011,18,Caquetá,124148
7,2011,19,Cauca,328682
8,2011,20,Cesar,263789
9,2011,23,Córdoba,405431
10,2011,25,Cundinamarca,570954
11,2011,27,Chocó,145587
12,2011,41,Huila,275956
13,2011,44,La Guajira,231046
14,2011,47,Magdalena,333793
15,2011,50,Meta,209319
16,2011,52,Nariño,401313
17,2011,54,Norte de Santander,324219
18,2011,63,Quindio,114075
19,2011,66,Risaralda,192633
20,2011,68,Santander,434034
21,2011,70,Sucre,205779
22,2011,73,Tolima,325983
23,2011,76,Valle del Cauca,906602
24,2011,81,Arauca,73431
25,2011,85,Casanare,85803
26,2011,86,Putumayo,93828
27,2011,88,"Archipiélago de San Andrés, Providencia y Santa Catalina",15852
28,2011,91,Amazonas,22223
29,2011,94,Guainía,11920
30,2011,95,Guaviare,31133
31,2011,97,Vaupés,12690
32,2011,99,Vichada,20360
33,2012,5,Antioquia,1278686
34,2012,8,Atlántico,523911
35,2012,11,"Bogotá, D.C.",1470171
36,2012,13,Bolívar,495108
37,2012,15,Boyacá,297132
38,2012,17,Caldas,198526
39,2012,18,Caquetá,124622
40,2012,19,Cauca,325212
41,2012,20,Cesar,263271
42,2012,23,Córdoba,405302
43,2012,25,Cundinamarca,571082
44,2012,27,Chocó,145607
45,2012,41,Huila,273653
46,2012,44,La Guajira,239298
47,2012,47,Magdalena,334586
48,2012,50,Meta,210820
49,2012,52,Nariño,401539
50,2012,54,Norte de Santander,322304
51,2012,63,Quindio,112175
52,2012,66,Risaralda,189484
53,2012,68,Santander,425904
54,2012,70,Sucre,203626
55,2012,73,Tolima,321653
56,2012,76,Valle del Cauca,894698
57,2012,81,Arauca,74454
58,2012,85,Casanare,85999
59,2012,86,Putumayo,93570
60,2012,88,"Archipiélago de San Andrés, Providencia y Santa Catalina",15648
61,2012,91,Amazonas,22194
62,2012,94,Guainía,11920
63,2012,95,Guaviare,31272
64,2012,97,Vaupés,12681
65,2012,99,Vichada,20686
66,2013,5,Antioquia,1272458
67,2013,8,Atlántico,522832
68,2013,11,"Bogotá, D.C.",1466854
69,2013,13,Bolívar,492500
70,2013,15,Boyacá,292312
71,2013,17,Caldas,196982
72,2013,18,Caquetá,124458
73,2013,19,Cauca,320510
74,2013,20,Cesar,262240
75,2013,23,Córdoba,407589
76,2013,25,Cundinamarca,572012
77,2013,27,Chocó,145133
78,2013,41,Huila,272091
79,2013,44,La Guajira,244513
80,2013,47,Magdalena,332266
81,2013,50,Meta,213170
82,2013,52,Nariño,399032
83,2013,54,Norte de Santander,317334
84,2013,63,Quindio,111539
85,2013,66,Risaralda,187946
86,2013,68,Santander,419596
87,2013,70,Sucre,202453
88,2013,73,Tolima,317546
89,2013,76,Valle del Cauca,887988
90,2013,81,Arauca,74658
91,2013,85,Casanare,86460
92,2013,86,Putumayo,92887
93,2013,88,"Archipiélago de San Andrés, Providencia y Santa Catalina",15536
94,2013,91,Amazonas,22123
95,2013,94,Guainía,11918
96,2013,95,Guaviare,31276
97,2013,97,Vaupés,12659
98,2013,99,Vichada,20977
99,2014,5,Antioquia,1266533
100,2014,8,Atlántico,521917
101,2014,11,"Bogotá, D.C.",1460379
102,2014,13,Bolívar,490573
103,2014,15,Boyacá,288366
104,2014,17,Caldas,195455
105,2014,18,Caquetá,124473
106,2014,19,Cauca,316362
107,2014,20,Cesar,261493
108,2014,23,Córdoba,408623
109,2014,25,Cundinamarca,573948
110,2014,27,Chocó,145299
111,2014,41,Huila,270459
112,2014,44,La Guajira,251458
113,2014,47,Magdalena,331389
114,2014,50,Meta,215227
115,2014,52,Nariño,397640
116,2014,54,Norte de Santander,313966
117,2014,63,Quindio,110359
118,2014,66,Risaralda,185754
119,2014,68,Santander,413227
120,2014,70,Sucre,201098
121,2014,73,Tolima,313709
122,2014,76,Valle del Cauca,880625
123,2014,81,Arauca,74948
124,2014,85,Casanare,86899
125,2014,86,Putumayo,92368
126,2014,88,"Archipiélago de San Andrés, Providencia y Santa Catalina",15395
127,2014,91,Amazonas,22167
128,2014,94,Guainía,11916
129,2014,95,Guaviare,31344
130,2014,97,Vaupés,12699
131,2014,99,Vichada,21331
132,2015,5,Antioquia,1262800
133,2015,8,Atlántico,520783
134,2015,11,"Bogotá, D.C.",1455309
135,2015,13,Bolívar,488886
136,2015,15,Boyacá,284611
137,2015,17,Caldas,194108
138,2015,18,Caquetá,124382
139,2015,19,Cauca,312453
140,2015,20,Cesar,260802
141,2015,23,Córdoba,409982
142,2015,25,Cundinamarca,576429
143,2015,27,Chocó,145625
144,2015,41,Huila,269323
145,2015,44,La Guajira,258207
146,2015,47,Magdalena,330539
147,2015,50,Meta,217437
148,2015,52,Nariño,396138
149,2015,54,Norte de Santander,310611
150,2015,63,Quindio,109400
151,2015,66,Risaralda,183900
152,2015,68,Santander,407815
153,2015,70,Sucre,200001
154,2015,73,Tolima,310206
155,2015,76,Valle del Cauca,875476
156,2015,81,Arauca,75107
157,2015,85,Casanare,87417
158,2015,86,Putumayo,91874
159,2015,88,"Archipiélago de San Andrés, Providencia y Santa Catalina",15265
160,2015,91,Amazonas,22212
161,2015,94,Guainía,11913
162,2015,95,Guaviare,31553
163,2015,97,Vaupés,12684
164,2015,99,Vichada,21644
165,2016,5,Antioquia,1265147
166,2016,8,Atlántico,519509
167,2016,11,"Bogotá, D.C.",1453283
168,2016,13,Bolívar,487274
169,2016,15,Boyacá,279627
170,2016,17,Caldas,192703
171,2016,18,Caquetá,124296
172,2016,19,Cauca,307989
173,2016,20,Cesar,259794
174,2016,23,Córdoba,411715
175,2016,25,Cundinamarca,577612
176,2016,27,Chocó,145596
177,2016,41,Huila,268744
178,2016,44,La Guajira,264785
179,2016,47,Magdalena,329234
180,2016,50,Meta,219565
181,2016,52,Nariño,394574
182,2016,54,Norte de Santander,307238
183,2016,63,Quindio,108652
184,2016,66,Risaralda,182345
185,2016,68,Santander,402820
186,2016,70,Sucre,198817
